,MKT_EXBTCETH
2022-12-07,25.131405986775846
2022-12-08,25.679693011556225
2022-12-09,25.39585253730109
2022-12-10,25.392624156314575
2022-12-11,24.897641394899235
2022-12-12,24.70293332101851
2022-12-13,25.131269780007948
2022-12-14,24.705668467490902
2022-12-15,24.091827099337834
2022-12-16,21.62640121696766
2022-12-17,22.1377259787585
2022-12-18,22.147813830845102
2022-12-19,21.18280154834022
2022-12-20,22.007096044251114
2022-12-21,21.710402088851502
2022-12-22,21.853744434688373
2022-12-23,21.842863890195694
2022-12-24,21.72243541493586
2022-12-25,21.642566652062236
2022-12-26,21.991915477071654
2022-12-27,21.84484861588341
2022-12-28,21.09048403704385
2022-12-29,21.007627356960064
2022-12-30,21.022433315119642
2022-12-31,21.0601492324538
2023-01-01,21.16611803020451
2023-01-02,21.691016714229285
2023-01-03,21.894865141494833
2023-01-04,22.68188657707832
2023-01-05,22.345406435137523
2023-01-06,22.760070112944806
2023-01-07,22.707697902934186
2023-01-08,23.642581257603325
2023-01-09,24.355143387066533
2023-01-10,24.697365624656708
2023-01-11,25.554852803312517
2023-01-12,26.13658320818015
2023-01-13,27.196066626926807
2023-01-14,29.026469072736827
2023-01-15,28.72886951111539
2023-01-16,28.57883344333153
2023-01-17,28.438198040957268
2023-01-18,27.1265734949866
2023-01-19,27.96730803882411
2023-01-20,30.443166465219747
2023-01-21,30.084307295296224
2023-01-22,30.604126929383526
2023-01-23,31.015928008682113
2023-01-24,29.630936464964496
2023-01-25,31.557361715838404
2023-01-26,31.4635286606957
2023-01-27,32.07997919128402
2023-01-28,31.644384460246684
2023-01-29,32.80322930664027
2023-01-30,31.040959584164128
2023-01-31,31.611960296966334
2023-02-01,32.86128008021732
2023-02-02,32.721646463522475
2023-02-03,33.44443816062627
2023-02-04,33.35757069332641
2023-02-05,32.42477446428548
2023-02-06,31.721413669008648
2023-02-07,33.203994181636645
2023-02-08,32.538732174358785
2023-02-09,29.840377442948352
2023-02-10,29.8800778681604
2023-02-11,30.436398909455853
2023-02-12,30.1113296748235
2023-02-13,29.507281326451245
2023-02-14,30.514418114545045
2023-02-15,32.79806229341427
2023-02-16,30.99847392780045
2023-02-17,32.644355027515104
2023-02-18,32.862290385046784
2023-02-19,32.90224277887106
2023-02-20,33.634838248412855
2023-02-21,32.6557918568497
2023-02-22,32.53554334004453
2023-02-23,32.20630514845542
2023-02-24,30.947221493073187
2023-02-25,30.51219250945995
2023-02-26,31.236397144294564
2023-02-27,30.763794408523125
2023-02-28,30.024436751084842
2023-03-01,30.98234442564769
2023-03-02,30.311251978663705
2023-03-03,29.10539896838512
2023-03-04,28.543532508235593
2023-03-05,28.561500354831615
2023-03-06,28.521016611280203
2023-03-07,28.385078399512174
2023-03-08,27.415682531433355
2023-03-09,26.22869258240254
2023-03-10,26.295136684422854
2023-03-11,25.86246782614007
2023-03-12,27.838046337371136
2023-03-13,28.989732690542624
2023-03-14,29.671621533003094
2023-03-15,27.932371523236547
2023-03-16,28.778184680183745
2023-03-17,30.672685614888064
2023-03-18,29.721855230538765
2023-03-19,30.39993352843601
2023-03-20,29.295700887222715
2023-03-21,31.15400094296648
2023-03-22,29.818208657097646
2023-03-23,30.925699475319956
2023-03-24,29.68656678038359
2023-03-25,29.420552947488837
2023-03-26,30.01768596471816
2023-03-27,29.03923772793351
2023-03-28,29.917018205909713
2023-03-29,30.78966780186582
2023-03-30,30.707371455508536
2023-03-31,31.35735511795125
2023-04-01,31.047338801014558
2023-04-02,30.593995319643962
2023-04-03,30.529500844059758
2023-04-04,30.97944972988303
2023-04-05,31.149047347402004
2023-04-06,30.66119418476368
2023-04-07,30.511419844954517
2023-04-08,30.206985192350906
2023-04-09,30.471198986068575
2023-04-10,31.24674059883762
2023-04-11,31.50932785715124
2023-04-12,31.35416804539864
2023-04-13,32.4915534388374
2023-04-14,33.6730084099376
2023-04-15,33.77618978895149
2023-04-16,34.50478389364618
2023-04-17,33.75040865128941
2023-04-18,34.648081592552366
2023-04-19,31.877499661185993
2023-04-20,31.059460404222534
2023-04-21,29.97244827381192
2023-04-22,30.715755848412947
2023-04-23,30.12363507395651
2023-04-24,30.03975061622309
2023-04-25,30.71276366044284
2023-04-26,30.157547841157843
2023-04-27,30.741721574894708
2023-04-28,30.711568043880995
2023-04-29,30.85392249321793
2023-04-30,30.661557054124565
2023-05-01,29.889776809913005
2023-05-02,29.95596521243137
2023-05-03,30.191412697163088
2023-05-04,29.711969729515204
2023-05-05,30.263329505678545
2023-05-06,29.094915748020068
2023-05-07,28.842989348970804
2023-05-08,27.373244425546297
2023-05-09,27.428586096692626
2023-05-10,27.802482689187087
2023-05-11,26.863460626085207
2023-05-12,27.498630242256777
2023-05-13,27.317741311203985
2023-05-14,27.5362454773888
2023-05-15,27.683118939489603
2023-05-16,27.760023312303055
2023-05-17,28.294928609918855
2023-05-18,27.832867875804496
2023-05-19,27.888112805981397
2023-05-20,27.94752711033347
2023-05-21,27.362831644672568
2023-05-22,27.545320885552044
2023-05-23,27.904347850730982
2023-05-24,27.004185542639508
2023-05-25,26.93465237783419
2023-05-26,27.280340495600854
2023-05-27,27.65379729587193
2023-05-28,28.434947199617454
2023-05-29,28.244830207138506
2023-05-30,28.457535281308704
2023-05-31,27.931519471108036
2023-06-01,27.6640151793566
2023-06-02,28.505051303181528
2023-06-03,28.39761136135628
2023-06-04,28.541303761557597
2023-06-05,26.480047373297555
2023-06-06,27.237113617451918
2023-06-07,25.749406575736366
2023-06-08,25.883516804568618
2023-06-09,25.583998598625747
2023-06-10,23.023076252480656
2023-06-11,23.06777854856691
2023-06-12,23.114159889142798
2023-06-13,23.448743716962962
2023-06-14,22.539839638667665
2023-06-15,22.619776552287906
2023-06-16,22.898133124334592
2023-06-17,23.282526547377188
2023-06-18,23.148972843018516
2023-06-19,23.379548773992223
2023-06-20,24.048403178462344
2023-06-21,24.913736489919522
2023-06-22,24.55397538748772
2023-06-23,25.46510945990236
2023-06-24,24.962455160784437
2023-06-25,25.341990093719442
2023-06-26,24.972690716748787
2023-06-27,25.4054038169082
2023-06-28,24.14763289007676
2023-06-29,24.807146311613884
2023-06-30,26.046275918283495
2023-07-01,26.360047634313734
2023-07-02,26.587027256323232
2023-07-03,26.732079032491196
2023-07-04,26.330912157460478
2023-07-05,25.788090125265317
2023-07-06,25.06535311275739
2023-07-07,25.750236749929744
2023-07-08,25.85259855227782
2023-07-09,25.600601193303362
2023-07-10,25.91423006184322
2023-07-11,26.06579800569341
2023-07-12,25.881732437424574
2023-07-13,30.862768065866547
2023-07-14,29.546784718187414
2023-07-15,29.74313635164917
2023-07-16,29.50166127742585
2023-07-17,29.611344954153644
2023-07-18,29.437672359196494
2023-07-19,30.10623596962592
2023-07-20,30.08494321403129
2023-07-21,29.95437953645328
2023-07-22,29.280627767783308
2023-07-23,29.578563287655374
2023-07-24,28.4481062757511
2023-07-25,28.51716334554672
2023-07-26,28.935365468383683
2023-07-27,28.960063175298444
2023-07-28,29.004555917576692
2023-07-29,29.284345884549506
2023-07-30,28.991593612926785
2023-07-31,28.698278916081065
2023-08-01,29.07161350529497
2023-08-02,28.047185548219044
2023-08-03,27.601004899188
2023-08-04,27.445332671194727
2023-08-05,27.534264300939785
2023-08-06,27.469828165234844
2023-08-07,27.442978484029386
2023-08-08,28.0128633468202
2023-08-09,28.151791659454815
2023-08-10,27.919494866642193
2023-08-11,27.857029505301252
2023-08-12,27.90231632098959
2023-08-13,27.60471624731432
2023-08-14,27.870525985277617
2023-08-15,26.90417527647601
2023-08-16,25.747348288266913
2023-08-17,23.572312078289713
2023-08-18,23.79886397647474
2023-08-19,24.18712598893343
2023-08-20,24.38534571338245
2023-08-21,23.811048345722494
2023-08-22,23.608626656238833
2023-08-23,24.297142615129175
2023-08-24,23.905085597026517
2023-08-25,23.715891392819664
2023-08-26,23.652233314339327
2023-08-27,23.81158304340839
2023-08-28,23.787534502293536
2023-08-29,24.677370863380325
2023-08-30,24.033319617226848
2023-08-31,23.157557871265215
2023-09-01,22.75110643848422
2023-09-02,22.854143894828628
2023-09-03,22.917902092083498
2023-09-04,22.95016156613943
2023-09-05,23.043755840914447
2023-09-06,23.034915604769367
2023-09-07,23.21742686377439
2023-09-08,22.99096930580056
2023-09-09,22.91178086063588
2023-09-10,22.323056341842054
2023-09-11,21.52064174242759
2023-09-12,21.878708708111265
2023-09-13,22.136073958013387
2023-09-14,22.440098619503615
2023-09-15,22.811180693870988
2023-09-16,22.832057491943335
2023-09-17,22.472260659814683
2023-09-18,22.892175132589728
2023-09-19,23.275893913175754
2023-09-20,23.212359411743925
2023-09-21,22.5939502791425
2023-09-22,22.737200662657347
2023-09-23,22.734199587206632
2023-09-24,22.4511102706389
2023-09-25,22.707482933649047
2023-09-26,22.644089365208853
2023-09-27,22.676554727492114
2023-09-28,23.30339222001775
2023-09-29,23.527808529770933
2023-09-30,23.689522586692743
2023-10-01,24.547162747566194
2023-10-02,23.84642727339177
2023-10-03,23.897441252650776
2023-10-04,23.781855922801633
2023-10-05,23.46230759454728
2023-10-06,23.832531424334206
2023-10-07,23.665933473560973
2023-10-08,23.502365136589006
2023-10-09,22.6817358648719
2023-10-10,22.632322328790977
2023-10-11,22.430124964396416
2023-10-12,22.127013695707156
2023-10-13,22.315507256018005
2023-10-14,22.406130021685478
2023-10-15,22.50607218973957
2023-10-16,23.096051982035544
2023-10-17,22.642837425225633
2023-10-18,22.46562366902303
2023-10-19,22.91092690810957
2023-10-20,23.408186117746418
2023-10-21,24.278695153837855
2023-10-22,24.757796253603402
2023-10-23,26.199923874674468
2023-10-24,25.97230644307032
2023-10-25,26.4270048805549
2023-10-26,26.523711790934307
2023-10-27,26.125039996712157
2023-10-28,26.37000106284255
2023-10-29,26.87011508260172
2023-10-30,27.495405822181617
2023-10-31,27.833730862757132
2023-11-01,28.91398014725923
2023-11-02,28.58640852678917
2023-11-03,28.71524230407625
2023-11-04,29.421367016441515
2023-11-05,30.122285950420707
2023-11-06,31.63691776816299
2023-11-07,30.910702525872622
2023-11-08,31.498574691518797
2023-11-09,31.85488066791186
2023-11-10,33.45872507146257
2023-11-11,33.848251597901
2023-11-12,34.07145715811074
2023-11-13,32.49395662121542
2023-11-14,32.33036124876614
2023-11-15,34.7384451594061
2023-11-16,33.007242938473325
2023-11-17,33.1303455875272
2023-11-18,32.94541251707728
2023-11-19,33.86151588804889
2023-11-20,32.98972055004207
2023-11-21,30.403288073733105
2023-11-22,32.70631273656203
2023-11-23,32.77250201198505
2023-11-24,33.036961920132086
2023-11-25,33.64928461869742
2023-11-26,33.21575546244874
2023-11-27,32.31560022609689
2023-11-28,32.91341391228102
2023-11-29,32.860846789540815
2023-11-30,32.94231199427053
