,SOL,BNB,XRP,ADA,DOGE,TRX,AVAX,LINK,DOT,LTC,BCH,UNI,ATOM,XLM,ETC,NEAR,FIL,APT,ICP,HBAR,SUI,ARB,OP,INJ,SHIB,TON,PEPE,AAVE,MKR,VET,RENDER,ALGO
2022-04-03,136.9,450.4,0.8432,1.186,0.1466,0.07312,98.05,18.08,23.21,128.7,378.6,11.87,31.97,0.237,46.71,16.813,25.43,,22.66,0.248,,,,6.324,2.683e-05,,,243.0,2278.0,0.08262,,0.9353
2022-04-04,132.14,447.6,0.826,1.212,0.1485,0.0707,96.16,17.5,22.89,124.8,376.2,11.54,30.85,0.2319,46.74,17.115,25.25,,21.89,0.2387,,,,6.266,2.645e-05,,,237.9,2439.0,0.0789,,0.8827
2022-04-05,126.87,444.7,0.8164,1.171,0.1727,0.06928,91.06,16.74,21.78,122.7,365.4,11.12,29.29,0.2248,44.39,16.14,24.88,,21.04,0.2272,,,,6.34,2.676e-05,,,221.0,2303.0,0.07584,,0.8345
2022-04-06,112.95,420.1,0.7595,1.052,0.1433,0.06308,82.94,15.41,19.85,111.7,331.0,9.96,26.89,0.2031,38.43,15.272,21.75,,18.73,0.2105,,,,5.969,2.436e-05,,,191.3,2042.0,0.06582,,0.7661
2022-04-07,118.48,436.0,0.7871,1.089,0.1459,0.06431,87.55,15.75,20.4,114.1,336.1,10.44,27.66,0.2126,43.45,17.447,22.47,,19.29,0.2226,,,,6.105,2.479e-05,,,202.2,2054.0,0.07026,,0.7993
2022-04-08,109.92,421.5,0.7549,1.024,0.1424,0.06259,83.66,15.13,19.43,110.7,323.0,9.74,26.88,0.2021,40.49,17.527,21.31,,18.0,0.2084,,,,6.175,2.381e-05,,,183.4,2035.0,0.06475,,0.7595
2022-04-09,112.96,426.6,0.7622,1.045,0.1442,0.06394,84.55,15.43,19.75,112.7,325.9,10.05,27.27,0.2049,41.96,17.553,21.72,,18.39,0.2136,,,,6.348,2.459e-05,,,184.8,2093.0,0.0671,,0.788
2022-04-10,111.07,418.1,0.7543,1.027,0.1482,0.06238,81.01,15.24,19.22,110.3,319.8,9.88,26.5,0.2004,40.32,15.804,21.02,,17.34,0.2084,,,,6.067,2.446e-05,,,176.3,2013.0,0.06492,,0.7503
2022-04-11,99.67,394.6,0.6948,0.92,0.1341,0.05823,74.35,13.76,17.2,102.4,294.8,8.99,23.85,0.1867,37.0,16.051,18.31,,16.1,0.1949,,,,5.283,2.218e-05,,,157.8,1815.0,0.05776,,0.6936
2022-04-12,103.22,413.6,0.7152,0.955,0.138,0.05991,76.31,13.98,17.77,104.8,305.0,9.32,24.64,0.1925,38.12,16.53,19.45,,16.59,0.1985,,,,5.501,2.7e-05,,,164.6,1852.0,0.06023,,0.7258
2022-04-13,104.94,423.4,0.7232,0.974,0.1399,0.0615,80.2,14.19,18.2,110.5,341.2,9.65,24.7,0.1965,38.59,16.837,19.4,,16.97,0.2034,,,,5.554,2.694e-05,,,178.2,1935.0,0.06154,,0.7461
2022-04-14,100.77,414.7,0.7262,0.933,0.1441,0.06013,76.81,13.65,17.91,107.3,337.6,9.48,23.96,0.1939,37.05,16.384,18.68,,16.49,0.1963,,,,5.295,2.578e-05,,,171.9,1902.0,0.06139,,0.7267
2022-04-15,101.31,417.3,0.7858,0.956,0.1458,0.06181,77.43,14.11,18.34,111.0,340.8,9.77,24.08,0.2042,37.35,16.032,19.05,,16.8,0.1999,,,,5.314,2.59e-05,,,175.9,1947.0,0.0616,,0.7393
2022-04-16,102.06,417.3,0.7808,0.951,0.1435,0.06186,77.74,14.14,18.61,114.3,342.8,9.67,24.18,0.2053,38.14,15.934,21.66,,17.56,0.1981,,,,5.4,2.559e-05,,,172.4,1887.0,0.06131,,0.7432
2022-04-17,100.15,406.6,0.7519,0.914,0.1392,0.06009,75.42,13.73,17.74,108.8,328.1,9.24,23.21,0.1965,36.6,15.682,19.7,,16.41,0.1923,,,,5.116,2.465e-05,,,166.7,1792.0,0.05792,,0.7105
